DeltaTime,SystemTime,Frame,DistanceTrackedObject_SpeedThisFrame,DistanceTrackedObject_DistanceTraveled,DistanceTrackedObject_TimeStartedInSeconds,DistanceTrackedObject_TimeSinceStarted,DistanceTrackedObject_Speed,DistanceTrackedObject_LastRecordedPositionDistanceTrackedObject_LastRecordedPosition_x,DistanceTrackedObject_LastRecordedPosition_y,DistanceTrackedObject_LastRecordedPosition_z,UserData_userID,
0.0023112,0.9345512,291,0,0,0,0.9345512,0,0,0,0,TestUser,
0.0024596,0.9370108,292,0,0,0,0.9370108,0,0,0,0,TestUser,
0.0018554,0.9388663,293,0,0,0,0.9388663,0,0,0,0,TestUser,
0.002035,0.9409012,294,0,0,0,0.9409012,0,0,0,0,TestUser,
0.0017941,0.9426953,295,0,0,0,0.9426953,0,0,0,0,TestUser,
0.0016868,0.9443821,296,0,0,0,0.9443821,0,0,0,0,TestUser,
0.0016015,0.9459836,297,0,0,0,0.9459836,0,0,0,0,TestUser,
0.0016273,0.9476109,298,0,0,0,0.9476109,0,0,0,0,TestUser,
0.0023147,0.9499257,299,0,0,0,0.9499257,0,0,0,0,TestUser,
0.0018082,0.9517338,300,0,0,0,0.9517338,0,0,0,0,TestUser,
0.0020684,0.9538022,301,0,0,0,0.9538022,0,0,0,0,TestUser,
0.0016485,0.9554507,302,0,0,0,0.9554507,0,0,0,0,TestUser,
0.0020299,0.9574807,303,0,0,0,0.9574807,0,0,0,0,TestUser,
0.0015406,0.9590213,304,0,0,0,0.9590213,0,0,0,0,TestUser,
0.0015456,0.9605668,305,0,0,0,0.9605668,0,0,0,0,TestUser,
0.0018893,0.9624562,306,0,0,0,0.9624562,0,0,0,0,TestUser,
0.003203,0.9656591,307,0,0,0,0.9656591,0,0,0,0,TestUser,
0.0021986,0.9678577,308,0,0,0,0.9678577,0,0,0,0,TestUser,
0.0017476,0.9696053,309,0,0,0,0.9696053,0,0,0,0,TestUser,
0.001602,0.9712073,310,0,0,0,0.9712073,0,0,0,0,TestUser,
0.002322,0.9735293,311,0,0,0,0.9735293,0,0,0,0,TestUser,
0.0016167,0.9751461,312,0,0,0,0.9751461,0,0,0,0,TestUser,
0.0014917,0.9766377,313,0,0,0,0.9766377,0,0,0,0,TestUser,
0.0014289,0.9780666,314,0,0,0,0.9780666,0,0,0,0,TestUser,
